version,payload,msgs,value,unit
zf-python-new,8000000,60,22014197,ns
zf-python-new,8000000,60,28352678,ns
zf-python-new,8000000,60,28671336,ns
zf-python-new,8000000,60,23676412,ns
zf-python-new,8000000,60,34721941,ns
zf-python-new,8000000,60,24651450,ns
zf-python-new,8000000,60,25719750,ns
zf-python-new,8000000,60,37090126,ns
zf-python-new,8000000,60,20752821,ns
zf-python-new,8000000,60,25070575,ns
zf-python-new,8000000,60,18369378,ns
zf-python-new,8000000,60,15814890,ns
zf-python-new,8000000,60,18577948,ns
zf-python-new,8000000,60,27565457,ns
zf-python-new,8000000,60,29834488,ns
zf-python-new,8000000,60,24913607,ns
zf-python-new,8000000,60,24174325,ns
zf-python-new,8000000,60,29640511,ns
zf-python-new,8000000,60,19879639,ns
zf-python-new,8000000,60,15900549,ns
zf-python-new,8000000,60,17270735,ns
zf-python-new,8000000,60,22533810,ns
zf-python-new,8000000,60,25215899,ns
zf-python-new,8000000,60,21819369,ns
zf-python-new,8000000,60,22797482,ns
zf-python-new,8000000,60,29653346,ns
zf-python-new,8000000,60,29983044,ns
zf-python-new,8000000,60,37818112,ns
zf-python-new,8000000,60,23606657,ns
zf-python-new,8000000,60,29626129,ns
zf-python-new,8000000,60,29809546,ns
zf-python-new,8000000,60,21079762,ns
zf-python-new,8000000,60,22000878,ns
zf-python-new,8000000,60,28351211,ns
zf-python-new,8000000,60,28575123,ns
zf-python-new,8000000,60,9026234,ns
zf-python-new,8000000,60,34005530,ns
zf-python-new,8000000,60,35107170,ns
zf-python-new,8000000,60,25378551,ns
zf-python-new,8000000,60,7300203,ns
zf-python-new,8000000,60,16421664,ns
zf-python-new,8000000,60,27781357,ns
zf-python-new,8000000,60,28646735,ns
zf-python-new,8000000,60,8894460,ns
zf-python-new,8000000,60,34038232,ns
zf-python-new,8000000,60,35284178,ns
zf-python-new,8000000,60,25364003,ns
zf-python-new,8000000,60,7299875,ns
zf-python-new,8000000,60,16901770,ns
zf-python-new,8000000,60,30377965,ns
zf-python-new,8000000,60,32796660,ns
zf-python-new,8000000,60,9999622,ns
zf-python-new,8000000,60,37147916,ns
zf-python-new,8000000,60,35877577,ns
zf-python-new,8000000,60,29784838,ns
zf-python-new,8000000,60,9330722,ns
zf-python-new,8000000,60,30905889,ns
zf-python-new,8000000,60,32127631,ns
zf-python-new,8000000,60,27410942,ns
zf-python-new,8000000,60,8649304,ns
zf-python-new,8000000,60,30969194,ns
zf-python-new,8000000,60,41695431,ns
zf-python-new,8000000,60,22270137,ns
zf-python-new,8000000,60,7301364,ns
zf-python-new,8000000,60,25487881,ns
zf-python-new,8000000,60,42543087,ns
zf-python-new,8000000,60,26210105,ns
zf-python-new,8000000,60,8021634,ns
zf-python-new,8000000,60,28789362,ns
zf-python-new,8000000,60,42174286,ns
zf-python-new,8000000,60,25370382,ns
zf-python-new,8000000,60,8196841,ns
zf-python-new,8000000,60,23666838,ns
zf-python-new,8000000,60,36792475,ns
zf-python-new,8000000,60,22622118,ns
zf-python-new,8000000,60,7705196,ns
zf-python-new,8000000,60,23028859,ns
zf-python-new,8000000,60,18706176,ns
zf-python-new,8000000,60,18294202,ns
zf-python-new,8000000,60,7029473,ns
zf-python-new,8000000,60,21406530,ns
zf-python-new,8000000,60,42391078,ns
zf-python-new,8000000,60,25346050,ns
zf-python-new,8000000,60,8105094,ns
zf-python-new,8000000,60,21983919,ns
zf-python-new,8000000,60,28223996,ns
zf-python-new,8000000,60,18687288,ns
zf-python-new,8000000,60,6938160,ns
zf-python-new,8000000,60,18711197,ns
zf-python-new,8000000,60,37637183,ns
zf-python-new,8000000,60,27255010,ns
zf-python-new,8000000,60,8649013,ns
zf-python-new,8000000,60,36726985,ns
zf-python-new,8000000,60,36552570,ns
zf-python-new,8000000,60,26305382,ns
zf-python-new,8000000,60,8374600,ns
zf-python-new,8000000,60,34407986,ns
zf-python-new,8000000,60,35212779,ns
zf-python-new,8000000,60,25355669,ns
zf-python-new,8000000,60,8112728,ns
zf-python-new,8000000,60,33236985,ns
zf-python-new,8000000,60,41987631,ns
zf-python-new,8000000,60,22192618,ns
zf-python-new,8000000,60,7476788,ns
zf-python-new,8000000,60,25669216,ns
zf-python-new,8000000,60,39341864,ns
zf-python-new,8000000,60,20351435,ns
zf-python-new,8000000,60,7571980,ns
zf-python-new,8000000,60,32928304,ns
zf-python-new,8000000,60,25598990,ns
zf-python-new,8000000,60,16366629,ns
zf-python-new,8000000,60,6689929,ns
zf-python-new,8000000,60,24726022,ns
zf-python-new,8000000,60,34370844,ns
zf-python-new,8000000,60,24628524,ns
zf-python-new,8000000,60,7486846,ns
zf-python-new,8000000,60,19619092,ns
zf-python-new,8000000,60,28272005,ns
zf-python-new,8000000,60,24760929,ns
zf-python-new,8000000,60,8732877,ns
zf-python-new,8000000,60,41250646,ns
zf-python-new,8000000,60,32799496,ns
zf-python-new,8000000,60,23602804,ns
zf-python-new,8000000,60,8445840,ns
zf-python-new,8000000,60,42157407,ns
zf-python-new,8000000,60,33310330,ns
zf-python-new,8000000,60,23806532,ns
zf-python-new,8000000,60,8586050,ns
zf-python-new,8000000,60,40199233,ns
zf-python-new,8000000,60,32630582,ns
zf-python-new,8000000,60,23609135,ns
zf-python-new,8000000,60,8590163,ns
zf-python-new,8000000,60,42106043,ns
zf-python-new,8000000,60,33175637,ns
zf-python-new,8000000,60,28675366,ns
zf-python-new,8000000,60,10018989,ns
zf-python-new,8000000,60,42475513,ns
zf-python-new,8000000,60,25554764,ns
zf-python-new,8000000,60,20950045,ns
zf-python-new,8000000,60,7794100,ns
zf-python-new,8000000,60,40054672,ns
zf-python-new,8000000,60,33341843,ns
zf-python-new,8000000,60,28583401,ns
zf-python-new,8000000,60,7890415,ns
zf-python-new,8000000,60,20924578,ns
zf-python-new,8000000,60,42752966,ns
zf-python-new,8000000,60,18553055,ns
zf-python-new,8000000,60,7125174,ns
zf-python-new,8000000,60,37982074,ns
zf-python-new,8000000,60,38982015,ns
zf-python-new,8000000,60,22557370,ns
zf-python-new,8000000,60,8098316,ns
zf-python-new,8000000,60,41351451,ns
zf-python-new,8000000,60,33203456,ns
zf-python-new,8000000,60,28766860,ns
zf-python-new,8000000,60,10024778,ns
zf-python-new,8000000,60,33982038,ns
zf-python-new,8000000,60,22090650,ns
zf-python-new,8000000,60,16084379,ns
zf-python-new,8000000,60,6728417,ns
zf-python-new,8000000,60,26489391,ns
zf-python-new,8000000,60,36635998,ns
zf-python-new,8000000,60,22065154,ns
zf-python-new,8000000,60,8184553,ns
zf-python-new,8000000,60,41064538,ns
zf-python-new,8000000,60,27462349,ns
zf-python-new,8000000,60,23722988,ns
zf-python-new,8000000,60,8467841,ns
zf-python-new,8000000,60,40286359,ns
zf-python-new,8000000,60,25563899,ns
